estimator,memory_size,dimension,status,build_time_seconds,median_query_latency_seconds,p95_query_latency_seconds,memory_bytes,serialized_size_bytes,observed_query_scaling_exponent,observed_memory_scaling_exponent,expected_asymptotic_time
regularized_gaussian_density,100,64,completed,0.0009234,5.36e-05,6.324499999999995e-05,84480,84765,1.1176908649056376,0.9323858937932986,"build O(n*d^2 + d^3), query O(n*d + d^2)"
regularized_mahalanobis,100,64,completed,0.0010758,4.81e-05,6.151499999999997e-05,84480,84732,1.1421785296602087,0.9323858937932986,"build O(n*d^2 + d^3), query O(n*d + d^2) after whitening"
brute_force_euclidean_knn,1000,64,completed,0.0001017,0.0001024,0.00016342999999999997,256000,256156,1.1263292880531728,0.9999999999999996,"build O(n*d), query O(n*d)"
ckdtree_indexed_knn,1000,64,completed,0.0024972,0.000343,0.000695845,521112,530543,1.1091821776823059,0.9971625057185957,"build O(n*log(n)*d), average query O(log(n)*d + k); worst-case O(n*d)"
exact_hash_lookup,1000,64,completed,0.0009966,2e-06,2.9e-06,353952,264054,0.1413082898372881,1.0010478376587693,"build O(n*d), expected query O(d) for state-byte hashing; worst-case hash lookup O(n)"
frozen_embedding_ckdtree_knn,1000,64,completed,0.0159226,0.00132875,0.0018191750000000001,810912,821081,0.8219556665477639,0.9499412150424845,"build O(n*network_cost + n*log(n)*e), query O(network_cost + log(n)*e + k), worst-case indexed search O(n*e)"
regularized_gaussian_density,1000,64,completed,0.0042879,0.0005255500000000001,0.0008361949999999999,545280,545566,1.1176908649056376,0.9323858937932986,"build O(n*d^2 + d^3), query O(n*d + d^2)"
regularized_mahalanobis,1000,64,completed,0.0044938,0.00045645,0.0008075599999999997,545280,545533,1.1421785296602087,0.9323858937932986,"build O(n*d^2 + d^3), query O(n*d + d^2) after whitening"
brute_force_euclidean_knn,10000,64,completed,0.001785,0.005739299999999999,0.006410975,2560000,2560156,1.1263292880531728,0.9999999999999996,"build O(n*d), query O(n*d)"
ckdtree_indexed_knn,10000,64,completed,0.0479762,0.008484950000000002,0.009662984999999999,5201112,5348803,1.1091821776823059,0.9971625057185957,"build O(n*log(n)*d), average query O(log(n)*d + k); worst-case O(n*d)"
exact_hash_lookup,10000,64,completed,0.0112592,2.4500000000000003e-06,3.8049999999999996e-06,3464992,2640396,0.1413082898372881,1.0010478376587693,"build O(n*d), expected query O(d) for state-byte hashing; worst-case hash lookup O(n)"
frozen_embedding_ckdtree_knn,10000,64,completed,0.0835708,0.0102423,0.01591458,7794912,7941469,0.8219556665477639,0.9499412150424845,"build O(n*network_cost + n*log(n)*e), query O(network_cost + log(n)*e + k), worst-case indexed search O(n*e)"
regularized_gaussian_density,10000,64,completed,0.0431977,0.0115011,0.01367916,5153280,5153566,1.1176908649056376,0.9323858937932986,"build O(n*d^2 + d^3), query O(n*d + d^2)"
regularized_mahalanobis,10000,64,completed,0.0436787,0.010591699999999999,0.011613865,5153280,5153533,1.1421785296602087,0.9323858937932986,"build O(n*d^2 + d^3), query O(n*d + d^2) after whitening"
brute_force_euclidean_knn,100000,64,completed,0.0221456,0.05351595,0.058954655,25600000,25600158,1.1263292880531728,0.9999999999999996,"build O(n*d), query O(n*d)"
ckdtree_indexed_knn,100000,64,completed,0.7612987,0.10161880000000001,0.12857405,52001112,53181001,1.1091821776823059,0.9971625057185957,"build O(n*log(n)*d), average query O(log(n)*d + k); worst-case O(n*d)"
exact_hash_lookup,100000,64,completed,0.1854576,4.7e-06,7.715e-06,36942960,26403825,0.1413082898372881,1.0010478376587693,"build O(n*d), expected query O(d) for state-byte hashing; worst-case hash lookup O(n)"
frozen_embedding_ckdtree_knn,100000,64,completed,0.9222728,0.08839405,0.100868775,77634912,78824613,0.8219556665477639,0.9499412150424845,"build O(n*network_cost + n*log(n)*e), query O(network_cost + log(n)*e + k), worst-case indexed search O(n*e)"
regularized_gaussian_density,100000,64,completed,0.4100436,0.10188085,0.11982403999999999,51233280,51233568,1.1176908649056376,0.9323858937932986,"build O(n*d^2 + d^3), query O(n*d + d^2)"
regularized_mahalanobis,100000,64,completed,0.4196706,0.1081972,0.13066415499999998,51233280,51233535,1.1421785296602087,0.9323858937932986,"build O(n*d^2 + d^3), query O(n*d + d^2) after whitening"
